Qual é o esporte mais popular do mundo?,Basquete,Vôlei,Futebol,Beisebol,C,1,É o esporte com maior audiência global.,100
Em que país nasceu o futebol moderno?,Brasil,Alemanha,Argentina,Inglaterra,D,1,É um país europeu famoso pelo chá.,200
Quantos jogadores um time de futebol tem em campo (sem contar substituições)?,11,9,12,10,A,2,É o número clássico: um goleiro e dez jogadores de linha.,300
Qual o nome do maior torneio internacional de futebol?,Copa América,Eurocopa,Copa do Mundo,Liga dos Campeões,C,2,A cada quatro anos,300
Qual atleta é conhecido como o “Homem mais rápido do mundo”?,Carl Lewis,Usain Bolt,Michael Johnson,Jesse Owens,B,3,É um jamaicano.,1000
Qual seleção venceu a Copa do Mundo de 2018?,Brasil,Alemanha,França,Croácia,C,3,É o país da Torre Eiffel.,2000
Quem é o maior artilheiro da história da seleção brasileira (oficialmente pela FIFA)?,Romário,Neymar,Pelé,Ronaldo,B,3,É um jogador ativo.,5000
Quantas medalhas de ouro o Brasil conquistou nas Olimpíadas de Tóquio 2020?,5,7,10,3,B,3,Foi a melhor campanha do Brasil em Olimpíadas.,10000
Qual país sediou os Jogos Olímpicos de 2008?,Japão,Grécia,China,Reino Unido,C,4,É o país mais populoso do mundo.,20000
Quantos Grand Slams existem no tênis profissional?,3,4,5,2,B,4,São quatro os principais torneios do circuito.,40000
Qual cidade é sede do clube argentino Boca Juniors?,Córdoba,Rosário,Buenos Aires,Mendoza,C,4,É a capital da Argentina.,80000
Em qual ano o Brasil conquistou sua primeira medalha olímpica de ouro no futebol masculino?,2008,2012,2016,2020,C,4,Jogos Olímpicos do Rio de Janeiro.,160000
Quantas vezes o tenista Rafael Nadal venceu Roland Garros (até 2024)?,10,14,12,15,B,5,Número maior que 12.,320000
Qual atleta brasileiro conquistou o primeiro ouro olímpico no boxe?,Robson Conceição,Popó Freitas,Esquiva Falcão,Hebert Conceição,A,5,Nome começa com R.,640000
Em que ano a NBA foi fundada?,1946,1950,1965,1939,A,5,Ano próximo ao fim da Segunda Guerra.,1000000
